#, instance, dim, nVertices, nFaces, orientable, genus, index, q, F4LvTime, F4LvMemory, F4LvTrials, F4LvTimeA, F4LvMemoryA, F4LvTimeB, F4LvMemory, F4LvmaxLenBefore, F4LvmaxDegBefore, F4LvmaxLenAfter, F4LvmaxDegAfter, F4LvfTime, F4LvfMemory, F4LvfTrials, F4LvfTimeA, F4LvfMemoryA, F4LvfTimeB, F4LvfMemory, F4LvfmaxLenBefore, F4LvfmaxDegBefore, F4LvfmaxLenAfter, F4LvfmaxDegAfter
33, 33_manifold_lex_d2_n8_o0_g2_05.mrdi, 2, 8, 24, 0, 2, 05, 1, 2.406169418, 881392344, 1, 0.776547937, 744175496, 0.146038729, 7520200, n/a, n/a, n/a, n/a, 2.603018817, 889488760, 1, 0.796375551, 744161560, 0.149948699, 7520200, n/a, n/a, n/a, n/a
33, 33_manifold_lex_d2_n8_o0_g2_05.mrdi, 2, 8, 16, 0, 2, 05, 2, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot
34, 34_manifold_lex_d2_n8_o0_g2_06.mrdi, 2, 8, 24, 0, 2, 06, 1, 2.471952421, 879830832, 1, 0.814615292, 742641568, 0.148313002, 7520200, n/a, n/a, n/a, n/a, 2.564554885, 888238544, 1, 0.76946172, 741754416, 0.148626229, 7520200, n/a, n/a, n/a, n/a
34, 34_manifold_lex_d2_n8_o0_g2_06.mrdi, 2, 8, 16, 0, 2, 06, 2, 336.949971484, 43829399744, 3, 1.607313686, 1627826240, 333.839566897, 42071903464, 6, 3, 44726, 19, 2297.550284362, 194138807696, 3, 1.6316854, 1627840464, 2294.392370943, 192373157240, 6, 3, 1, 0
49, 49_manifold_lex_d2_n8_o1_g1_01.mrdi, 2, 8, 24, 1, 1, 01, 1, 2.315408783, 888495488, 2, 0.742367591, 742194736, 0.160187139, 16714328, 2, 2, 6, 3, 2.439976275, 899810936, 2, 0.793711886, 742208080, 0.162896472, 19875904, 2, 2, 1, 0
49, 49_manifold_lex_d2_n8_o1_g1_01.mrdi, 2, 8, 16, 1, 1, 01, 2, 593.839146213, 12102971496, 2, 1.736733106, 1626388544, 590.649121448, 10347009376, 6, 3, 4818, 20, 93.323152476, 16030284872, 2, 1.559728454, 1626413856, 90.250566502, 14266058704, 6, 3, 1, 0
50, 50_manifold_lex_d2_n8_o1_g1_02.mrdi, 2, 8, 24, 1, 1, 02, 1, 2.383286729, 881185920, 1, 0.77774161, 743979248, 0.142167586, 7520200, n/a, n/a, n/a, n/a, 2.456536004, 889284768, 1, 0.804668932, 743953856, 0.14329508, 7520200, n/a, n/a, n/a, n/a
50, 50_manifold_lex_d2_n8_o1_g1_02.mrdi, 2, 8, 16, 1, 1, 02, 2, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot
51, 51_manifold_lex_d2_n8_o1_g1_03.mrdi, 2, 8, 24, 1, 1, 03, 1, 2.368313446, 880350544, 1, 0.746019044, 741779360, 0.140971433, 7520200, n/a, n/a, n/a, n/a, 2.539092604, 888117280, 1, 0.769601518, 741817600, 0.149529628, 7520200, n/a, n/a, n/a, n/a
51, 51_manifold_lex_d2_n8_o1_g1_03.mrdi, 2, 8, 16, 1, 1, 03, 2, 1500.447208131, 40923862640, 6, 1.610319203, 1628058376, 1497.369247274, 39166139872, 6, 3, 17480, 18, 230.223187863, 39447233536, 6, 1.620916069, 1628041000, 227.116417365, 37681383632, 6, 3, 1, 0
52, 52_manifold_lex_d2_n8_o1_g1_04.mrdi, 2, 8, 24, 1, 1, 04, 1, 2.432936965, 880849912, 1, 0.794867293, 743656664, 0.14559997, 7520200, n/a, n/a, n/a, n/a, 2.442234826, 889049272, 1, 0.781479665, 743693848, 0.143663005, 7520200, n/a, n/a, n/a, n/a
52, 52_manifold_lex_d2_n8_o1_g1_04.mrdi, 2, 8, 16, 1, 1, 04, 2, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot
53, 53_manifold_lex_d2_n8_o1_g1_05.mrdi, 2, 8, 24, 1, 1, 05, 1, 2.341421184, 882309224, 3, 0.725072871, 743749640, 0.139885711, 7520200, n/a, n/a, n/a, n/a, 2.371722323, 890334920, 3, 0.71898305, 743791736, 0.139809968, 7520200, n/a, n/a, n/a, n/a
53, 53_manifold_lex_d2_n8_o1_g1_05.mrdi, 2, 8, 16, 1, 1, 05, 2, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot
54, 54_manifold_lex_d2_n8_o1_g1_06.mrdi, 2, 8, 24, 1, 1, 06, 1, 2.383625933, 880641128, 1, 0.717381578, 742383224, 0.184465496, 7520824, n/a, n/a, n/a, n/a, 2.55311862, 888626696, 1, 0.798917436, 743293144, 0.152867325, 7520200, n/a, n/a, n/a, n/a
54, 54_manifold_lex_d2_n8_o1_g1_06.mrdi, 2, 8, 16, 1, 1, 06, 2, 377.986744761, 35788145544, 3, 1.522467549, 1628338896, 374.952216682, 34028758688, 6, 3, 47050, 19, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot, oot
55, 55_manifold_lex_d2_n8_o1_g1_07.mrdi, 2, 8, 24, 1, 1, 07, 1, 2.387645896, 881530680, 1, 0.742918177, 742959384, 0.143984248, 7520200, n/a, n/a, n/a, n/a, 2.550108042, 889269960, 1, 0.765579346, 742990360, 0.150378918, 7520200, n/a, n/a, n/a, n/a
55, 55_manifold_lex_d2_n8_o1_g1_07.mrdi, 2, 8, 16, 1, 1, 07, 2, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom, oom
